rank,game,year,millionCopies
1,Tetris,1984,143
2,Wii Sports,2006,82.54
3,Minecraft,2009,54
4,Super Mario Bros.,1985,40.24
5,Mario Kart Wii,2008,35.53
6,Grand Theft Auto V,2013,34
7,Wii Sports Resort,2009,32.58
8,New Super Mario Bros.,2006,30.75
9,Call of Duty: Modern Warfare 2,2009,28.5
10,Wii Play,2006,28.02
11,New Super Mario Bros. Wii,2009,27.88
12,Grand Theft Auto: San Andreas,2004,27.5
13,Call of Duty: Modern Warfare 3,2011,26.5
14,Grand Theft Auto IV,2008,25
15,Call of Duty: Black Ops,2010,26.2
16,Call of Duty: Black Ops II,2012,24.2
17,Kinect Adventures!,2010,24
18,Nintendogs,2005,23.94
19,"Pokemon Red, Blue, and Green",1996,23.64
20,Mario Kart DS,2005,23.56
21,Pokemon Gold andSilver,1999,23
22,Wii Fit,2007,22.67
23,Wii Fit Plus,2009,21.03
24,Super Mario World,1990,20.6
25,Grand Theft Auto: Vice City,2002,20
26,The Sims 2,2004,20
27,The Elder Scrolls V: Skyrim,2011,20
28,Battlefield 3,2011,20
29,Brain Age,2005,19.01
30,Call of Duty: Ghosts,2013,19
31,Super Mario Land,1989,18.06
32,Super Mario Bros. 3,1988,18
33,Pokemon Diamond andPearl,2006,17.63
34,The Sims,2000,16
35,Pokemon Ruby andSapphire,2002,16
36,Call of Duty 4: Modern Warfare,2007,15.7
37,Call of Duty: World at War,2008,15.7
38,Pokemon Black andWhite,2010,15.42
39,Sonic the Hedgehog,1991,15
40,Diablo III,2012,15