game,mlnCopies
Kinect Adventures,24
Halo 3,14.5
Call of Duty: Black Ops,12
Minecraft,12
Call of Duty: Modern Warfare 2,7.562
Gears of War,5
Gears of War 2,5
Halo: Reach,4.79
Grand Theft Auto IV,4.362
Call of Duty 4: Modern Warfare,4.211
Fable II,3.5
Call of Duty: World at War,3.35
Gears of War 3,3
Halo 3: ODST,3
Battlefield 3,2.73
Forza Motorsport 2,2.674
Assassin's Creed,2.585
Uno,2.068
Dead Rising,2
Forza Motorsport 3,2
Guitar Hero II,2
Saints Row,2
Assassin's Creed II,1.917
The Elder Scrolls IV: Oblivion,1.872
Madden NFL 09,1.87
Red Dead Redemption,1.865
Rock Band,1.75
Madden NFL 07,1.72
Guitar Hero III: Legends of Rock,1.652
Mass Effect 2,1.6
Mass Effect,1.6
Tom Clancy's Rainbow Six: Vegas,1.591
Call of Duty 3,1.534
BioShock,1.5
Crackdown,1.5
Fallout 3,1.51
Lost Planet: Extreme Condition,1.5
Madden NFL 08,1.51
Perfect Dark Zero,1.5
Resident Evil 5,1.423
Tom Clancy's Ghost Recon Advanced Warfighter,1.411
Call of Duty 2,1.4
Fight Night Round 3,1.29
Trials HD[c],1.29
UFC 2009 Undisputed,1.23
Guitar Hero World Tour,1.124
Star Wars: The Force Unleashed,1.123
Battlefield: Bad Company 2,1.05
Rock Band 2,1.02
Dead or Alive 4,1
Left 4 Dead,1
Halo Wars,1
Ninja Gaiden II,1
The Orange Box,1
Tom Clancy's Ghost Recon Advanced Warfighter 2,1
Viva Piñata,1