Year,United States,USSR/Russia,Britain,France,China,Israel,India ,Pakistan,Total
1945,2,,,,,,,,2
1946,9,,,,,,,,9
1947,13,,,,,,,,13
1948,50,,,,,,,,50
1949,170,1,,,,,,,171
1950,299,5,,,,,,,304
1951,438,25,,,,,,,463
1952,841,50,,,,,,,891
1953,1169,120,1,,,,,,1290
1954,1703,150,7,,,,,,1860
1955,2422,200,14,,,,,,2636
1956,3692,426,21,,,,,,4139
1957,5543,660,28,,,,,,6231
1958,7345,869,31,,,,,,8245
1959,12298,1060,35,,,,,,13393
1960,18638,1605,42,,,,,,20285
1961,22229,2471,70,,,,,,24770
1962,25540,3322,288,,,,,,29150
1963,28133,4238,394,,,,,,32765
1964,29463,5221,436,4,1,,,,35125
1965,31139,6129,436,32,5,,,,37741
1966,31175,7089,380,36,20,,,,38700
1967,31255,8339,380,36,25,2,,,40037
1968,29561,9399,394,36,35,4,,,39429
1969,27552,10538,433,36,50,6,,,38615
1970,26008,11643,394,36,75,8,,,38164
1971,25830,13092,309,45,100,11,,,39387
1972,26516,14478,309,70,130,13,,,41516
1973,27835,15915,387,116,150,15,,,44418
1974,28537,17385,457,145,170,17,,,46711
1975,27519,19055,492,188,180,20,,,47454
1976,25914,21205,492,212,180,22,,,48025
1977,25542,23044,492,228,180,24,,,49510
1978,24418,25393,492,235,190,26,,,50754
1979,24138,27935,492,235,195,29,,,53024
1980,24104,30062,492,250,205,31,,,55144
1981,23208,32049,492,274,225,33,,,56281
1982,22886,33952,471,274,235,35,,,57853
1983,23305,35804,450,279,240,38,,,60116
1984,23459,37431,380,280,249,40,,,61839
1985,23368,39197,422,360,243,42,,,63632
1986,23317,45000,422,355,230,44,,,69368
1987,23575,43000,422,420,230,47,,,67694
1988,23205,41000,422,410,240,49,,,65326
1989,22217,39000,422,410,238,51,,,62338
1990,21392,37000,422,505,232,53,,,59604
1991,19008,35000,422,540,234,56,,,55260
1992,13708,33000,422,540,234,58,,,47962
1993,11511,31000,422,525,234,60,,,43752
1994,10979,29000,352,510,234,62,,,41137
1995,10904,27000,422,500,234,63,,,39123
1996,11011,25000,422,450,234,64,,,37181
1997,10903,23000,366,450,232,66,,,35017
1998,10732,22500,281,450,232,68,2,3,34268
1999,10685,22000,281,450,232,70,8,8,33734
2000,10577,21500,281,470,232,72,14,13,33159
2001,10526,21000,281,350,235,74,20,18,32504
2002,10457,20000,281,350,235,76,26,23,31448
2003,10027,19000,281,350,235,78,32,28,30031
2004,8570,18000,281,350,235,80,38,33,27587
2005,8360,17000,281,350,235,80,44,38,26388
2006,7853,16000,281,350,235,80,50,43,24892
2007,5709,15000,225,350,235,80,60,50,21709
2008,5273,14000,225,300,235,80,70,60,20243
2009,5113,13000,225,300,240,80,80,70,19108
2010,5000,12000,225,300,240,80,80,70,17995