Platform,company,tear,mlnUnits
PlayStation 2,Sony,2000,155
Nintendo DS,Nintendo,2004,153.99
Game Boy,Nintendo,1989,118.69
PlayStation,Sony,1994,102.49
Wii,Nintendo,2006,101.15
Xbox 360,Microsoft,2005,84
Game Boy Advance,Nintendo,2001,81.51
PlayStation 3,Sony,2006,80
PlayStation Portable,Sony,2004,78.15
NES,Nintendo,1983,61.91
Super Nintendo,Nintendo,1990,49.1
Nintendo 3DS,Nintendo,2011,44.14
Sega Genesis,Sega,1988,40
Nintendo 64,Nintendo,1996,32.93
Atari 2600,Atari,1977,30
Xbox,Microsoft,2001,24
GameCube,Nintendo,2001,21.74
Master System,Sega,1986,13.9
Sega Game Gear,Sega,1990,11
Dreamcast,Sega,1998,10.6
PlayStation 4,Sony,2013,10
PlayStation Vita,Sony,2011,10
TurboGrafx-16,Hudson Soft/NEC,1987,10
Sega Saturn,Sega,1994,9.5
Wii U,Nintendo,2012,6.68
Xbox One,Microsoft,2013,5.1
Atari 7800,Atari,1986,3.8
Sega Pico,Sega,1993,3.45
WonderSwan,Bandai,1999,3.4
Color TV Game,Nintendo,1977,3
Intellivision,Mattel,1980,3
N-Gage,Nokia,2003,3
ColecoVision,Coleco,1982,2.05
Magnavox Odyssey,Magnavox/Philips,1978,2
Atari Lynx,Atari,1989,1
Philips CD-i,Philips,1991,1
Telstar,Coleco,1976,1
Atari 5200,Atari,1982,1