game,mllnCopies
Gran Turismo 5,10.66
The Last of Us,6
Metal Gear Solid 4: Guns of the Patriots,6
Gran Turismo 5 Prologue,5.35
God of War III,5.197632
Call of Duty: Modern Warfare 2,4.8
Uncharted 3: Drake's Deception,3.8
Uncharted 2: Among Thieves,3.8
MotorStorm,3.31
Call of Duty: Black Ops,3.269
LittleBigPlanet,3
Final Fantasy XIII,2.97
Grand Theft Auto IV,2.73
Uncharted: Drake's Fortune,2.6
Resistance: Fall of Man,2.5
God of War Collection,2.418516
Killzone 2,2
inFamous,2
Call of Duty 4: Modern Warfare,1.977
Call of Duty: World at War,1.83
Heavy Rain,1.7
Resident Evil 5,1.62
Heavenly Sword,1.5
Minecraft,1.5
Red Dead Redemption,1.35
Ratchet & Clank Future: Tools of Destruction,1.25
MotorStorm: Pacific Rift,1